season,lg,player,player_id,age
2024,nba,Duop Reath,reathdu01,27
2024,nba,Anthony Black,blackan01,20
2024,nba,Marcus Sasser,sassema01,23
2023,nba,Jaren Jackson Jr.,jacksja02,23
2023,nba,Jrue Holiday,holidjr01,32
2023,nba,Brook Lopez,lopezbr01,34
2023,nba,Evan Mobley,mobleev01,21
2023,nba,Alex Caruso,carusal01,28
2023,nba,Derrick White,whitede01,28
2023,nba,Draymond Green,greendr01,32
2023,nba,OG Anunoby,anunoog01,25
2023,nba,Dillon Brooks,brookdi01,27
2023,nba,Bam Adebayo,adebaba01,25
2023,nba,Giannis Antetokounmpo,antetgi01,28
2023,nba,Jaden McDaniels,mcdanja02,22
2023,nba,Marcus Smart,smartma01,28
2023,nba,Mikal Bridges,bridgmi01,26
2023,nba,Nic Claxton,claxtni01,23
2023,nba,Jimmy Butler,butleji01,33
2023,nba,Joel Embiid,embiijo01,28
2023,nba,Herbert Jones,joneshe01,24
2023,nba,Anthony Davis,davisan02,29
2023,nba,Luguentz Dort,dortlu01,23
2023,nba,Jaylen Brown,brownja02,26
2023,nba,Anthony Edwards,edwaran01,21
2023,nba,Matisse Thybulle,thybuma01,25
2023,nba,Jarrett Allen,allenja01,24
2023,nba,Shai Gilgeous-Alexander,gilgesh01,24
2023,nba,Dejounte Murray,murrade01,26
2023,nba,Paul George,georgpa01,32
2023,nba,Tyrese Haliburton,halibty01,22
2023,nba,Desmond Bane,banede01,24
2023,nba,Scottie Barnes,barnesc01,21
2023,nba,Patrick Beverley,beverpa01,34
2023,nba,Kevin Durant,duranke01,34
2023,nba,Aaron Gordon,gordoaa01,27
2023,nba,Walker Kessler,kesslwa01,21
2023,nba,De'Anthony Melton,meltode01,24
2023,nba,Chris Paul,paulch01,37
2023,nba,P.J. Tucker,tuckepj01,37
2023,nba,Delon Wright,wrighde01,30
2023,nba,Jayson Tatum,tatumja01,24
2023,nba,Luka Dončić,doncilu01,23
2023,nba,Nikola Jokić,jokicni01,27
2023,nba,Donovan Mitchell,mitchdo01,26
2023,nba,Stephen Curry,curryst01,34
2023,nba,Domantas Sabonis,sabondo01,26
2023,nba,De'Aaron Fox,foxde01,25
2023,nba,Damian Lillard,lillada01,32
2023,nba,Julius Randle,randlju01,28
2023,nba,LeBron James,jamesle01,38
2023,nba,Lauri Markkanen,markkla01,25
2023,nba,Ja Morant,moranja01,23
2023,nba,Jalen Brunson,brunsja01,26
2023,nba,Kawhi Leonard,leonaka01,31
2023,nba,Pascal Siakam,siakapa01,28
2023,nba,Devin Booker,bookede01,26
2023,nba,James Harden,hardeja01,33
2023,nba,DeMar DeRozan,derozde01,33
2023,nba,Kristaps Porziņģis,porzikr01,27
2023,nba,Zach LaVine,lavinza01,27
2023,nba,Trae Young,youngtr01,24
2023,nba,Paolo Banchero,banchpa01,20
2023,nba,Jalen Williams,willija06,21
2023,nba,Keegan Murray,murrake02,22
2023,nba,Bennedict Mathurin,mathube01,20
2023,nba,Jaden Ivey,iveyja01,20
2023,nba,Jalen Duren,durenja01,19
2023,nba,Jabari Smith Jr.,smithja05,19
2023,nba,Jeremy Sochan,sochaje01,19
2023,nba,Tari Eason,easonta01,21
2023,nba,Andrew Nembhard,nembhan01,23
2023,nba,Shaedon Sharpe,sharpsh01,19
2023,nba,AJ Griffin,griffaj01,19
2023,nba,Christian Braun,braunch01,21
2023,nba,Jaylin Williams,willija07,20
2023,nba,Jaden Hardy,hardyja02,20
2023,nba,Mark Williams,willima07,21
2023,nba,MarJon Beauchamp,beaucma01,22
2023,nba,Malaki Branham,branhma01,19
2023,nba,Dyson Daniels,daniedy01,19
2022,nba,Marcus Smart,smartma01,27
2022,nba,Mikal Bridges,bridgmi01,25
2022,nba,Rudy Gobert,goberru01,29
2022,nba,Giannis Antetokounmpo,antetgi01,27
2022,nba,Jaren Jackson Jr.,jacksja02,22
2022,nba,Bam Adebayo,adebaba01,24
2022,nba,Jrue Holiday,holidjr01,31
2022,nba,Matisse Thybulle,thybuma01,24
2022,nba,Robert Williams,williro04,24
2022,nba,Draymond Green,greendr01,31
2022,nba,Fred VanVleet,vanvlfr01,27
