season,award,player,player_id,age,winner
2024,nba mip,Alperen Şengün,sengual01,21,False
2024,nba mip,Jalen Williams,willija06,22,False
2024,nba mip,Jalen Brunson,brunsja01,27,False
2024,nba mip,Deni Avdija,avdijde01,23,False
2024,nba mip,Cam Thomas,thomaca02,22,False
2024,nba mip,Jalen Suggs,suggsja01,22,False
2024,nba mip,Tyrese Haliburton,halibty01,23,False
2024,nba mip,Grayson Allen,allengr01,28,False
2024,nba mip,Duncan Robinson,robindu01,29,False
2024,nba mip,Shai Gilgeous-Alexander,gilgesh01,25,False
2024,nba mip,Devin Vassell,vassede01,23,False
2024,nba mip,Aaron Nesmith,nesmiaa01,24,False
2024,nba mvp,Nikola Jokić,jokicni01,28,True
2024,nba mvp,Shai Gilgeous-Alexander,gilgesh01,25,False
2024,nba mvp,Luka Dončić,doncilu01,24,False
2024,nba mvp,Giannis Antetokounmpo,antetgi01,29,False
2024,nba mvp,Jalen Brunson,brunsja01,27,False
2024,nba mvp,Jayson Tatum,tatumja01,25,False
2024,nba mvp,Anthony Edwards,edwaran01,22,False
2024,nba mvp,Domantas Sabonis,sabondo01,27,False
2024,nba mvp,Kevin Durant,duranke01,35,False
2024,nba roy,Victor Wembanyama,wembavi01,20,True
2024,nba roy,Chet Holmgren,holmgch01,21,False
2024,nba roy,Brandon Miller,millebr02,21,False
2024,nba roy,Jaime Jaquez Jr.,jaqueja01,22,False
2024,nba roy,Brandin Podziemski,podzibr01,20,False
2024,nba roy,Dereck Lively II,livelde01,19,False
2024,nba smoy,Naz Reid,reidna01,24,True
2024,nba smoy,Malik Monk,monkma01,25,False
2024,nba smoy,Bobby Portis,portibo01,28,False
2024,nba smoy,Norman Powell,powelno01,30,False
2024,nba smoy,Bogdan Bogdanović,bogdabo01,31,False
2024,nba smoy,Jose Alvarado,alvarjo01,25,False
2024,nba smoy,T.J. McConnell,mccontj01,31,False
2024,nba smoy,Russell Westbrook,westbru01,35,False
2024,nba smoy,Bojan Bogdanović,bogdabo02,34,False
2024,nba smoy,Tim Hardaway Jr.,hardati02,31,False
2024,nba smoy,Jonathan Isaac,isaacjo01,26,False
2024,nba smoy,Jaime Jaquez Jr.,jaqueja01,22,False
2023,nba clutch_poy,De'Aaron Fox,foxde01,25,True
2023,nba clutch_poy,Jimmy Butler,butleji01,33,False
2023,nba clutch_poy,DeMar DeRozan,derozde01,33,False
