season,lg,team,abbreviation,playoffs,g,mp,opp_fg_per_100_poss,opp_fga_per_100_poss,opp_fg_percent,opp_x2p_per_100_poss,opp_x2pa_per_100_poss,opp_x2p_percent,opp_ft_per_100_poss,opp_fta_per_100_poss,opp_ft_percent,opp_orb_per_100_poss,opp_drb_per_100_poss,opp_trb_per_100_poss,opp_ast_per_100_poss,opp_stl_per_100_poss,opp_blk_per_100_poss,opp_tov_per_100_poss,opp_pf_per_100_poss,opp_pts_per_100_poss
2017,NBA,Miami Heat,MIA,False,82,19780,39.6,88.0,0.45,31.5,64.2,0.49,19.3,24.7,0.782,10.7,34.9,45.5,20.5,7.1,5.1,14.3,19.5,106.7
2017,NBA,Milwaukee Bucks,MIL,True,82,19780,40.0,87.3,0.458,29.5,57.6,0.512,18.8,24.4,0.771,10.8,33.8,44.7,25.3,7.8,4.8,15.5,20.3,109.3
2017,NBA,Minnesota Timberwolves,MIN,False,82,19805,41.6,87.4,0.475,31.2,59.1,0.528,18.5,24.1,0.768,10.3,32.1,42.4,24.3,8.1,5.3,15.0,21.5,112.0
2017,NBA,New Orleans Pelicans,NOP,False,82,19905,40.4,89.8,0.45,29.8,59.7,0.499,15.9,20.9,0.762,10.7,38.0,48.7,23.6,7.4,4.3,14.1,19.4,107.4
2017,NBA,New York Knicks,NYK,False,82,19855,41.0,90.2,0.455,30.9,61.1,0.506,19.3,25.0,0.771,12.0,34.2,46.2,22.5,7.7,4.7,13.3,19.1,111.5
2017,NBA,Oklahoma City Thunder,OKC,True,82,19805,39.8,86.7,0.459,30.9,61.5,0.502,18.9,24.7,0.764,9.3,32.0,41.3,21.8,8.6,5.6,14.0,21.0,107.5
2017,NBA,Orlando Magic,ORL,False,82,19805,41.3,88.6,0.467,31.4,61.6,0.51,17.8,23.3,0.766,10.0,36.7,46.7,24.2,7.8,5.2,13.4,19.2,110.5
2017,NBA,Philadelphia 76ers,PHI,False,82,19830,39.8,86.5,0.461,30.9,61.4,0.503,20.3,26.2,0.773,10.9,34.4,45.3,22.8,8.6,5.5,15.2,19.8,108.9
2017,NBA,Phoenix Suns,PHO,False,82,19830,39.8,85.3,0.467,29.9,59.3,0.504,22.5,28.8,0.783,10.1,33.5,43.6,21.9,8.0,5.3,14.7,22.0,112.2
2017,NBA,Portland Trail Blazers,POR,True,82,19930,40.0,88.1,0.455,30.5,62.4,0.489,21.3,27.1,0.785,10.3,34.6,44.9,21.0,7.9,5.4,13.1,20.2,110.8
